smiles,inchikey
COc1cc(S(=O)(=O)O)ccc1O,QDRCGSIKAHSALR-UHFFFAOYSA-N
CSCC1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)O1,SRQKTCXJCCHINN-NYYWCZLTSA-N
C=C1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,YVHXHNGGPURVOS-SBTDHBFYSA-N
CC1(C)OC2(C)C(O)CC1CC2O,JSNQSLSBBZFGBM-UHFFFAOYSA-N
CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,OIRFJRBSRORBCM-UHFFFAOYSA-N
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,WXURHACBFYSXBI-GQKYHHCASA-N
NC(=O)OCCCc1ccccc1,CAMYKONBWHRPDD-UHFFFAOYSA-N
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,GNOGSFBXBWBTIG-UHFFFAOYSA-N
CCC(C)(C)c1ccc(CC(C)CN2C[C@H](C)O[C@H](C)C2)cc1,MQHLMHIZUIDKOO-AYHJJNSGSA-N
CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I,GSVQIUGOUKJHRC-UHFFFAOYSA-N
IC(I)I,OKJPEAGHQZHRQV-UHFFFAOYSA-N
CCCCC(CC)C1NC(=O)N(SC(Cl)(Cl)Cl)C1=O,VOGJJBHRUDVEFM-UHFFFAOYSA-N
C[C@]12C[C@H](O)[C@H]3[C@@H](C=C(Cl)C4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,YTJIBEDMAQUYSZ-FDNPDPBUSA-N
CN(C(=O)CC(=O)N(C)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c1I)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c1I,XUHXFSYUBXNTHU-UHFFFAOYSA-N
O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,BELBBZDIHDAJOR-UHFFFAOYSA-N
CS(=O)(=O)NC(=O)CCC/C=C\C[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1ccccc1,UQZVCDCIMBLVNR-TWYODKAFSA-N
CCC1=C(C[C@H]2NCCc3cc(OC)c(OC)cc32)C[C@H]2c3cc(OC)c(OC)cc3CCN2C1,XXLZPUYGHQWHRN-RPBOFIJWSA-N
CCC1CN2CCC1CC2[C@H](O)c1ccnc2ccc(OC)cc12,LJOQGZACKSYWCH-WGFDLZGGSA-N
S=C1SCN(Cc2ccccc2)CN1Cc1ccccc1,QFVAWNPSRQWSDU-UHFFFAOYSA-N
CN(C)c1ccc(O)cc1,JVVRCYWZTJLJSG-UHFFFAOYSA-N
CCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,MFBMYAOAMQLLPK-FZNHGJLXSA-N
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12,PQSUYGKTWSAVDQ-ZVIOFETBSA-N
O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1ccc(O)cc1,YCWSUKQGVSGXJO-NTUHNPAUSA-N
C[N+](C)(C)CCOCC[18F],XUUGOSKUEDWDAS-COJKEBBMSA-N
Cn1c([N+](=O)[O-])cnc1/C=C/c1ccnc(N)n1,LHIALLMPKJMSIQ-NSCUHMNNSA-N
O=C(Oc1ccccc1)c1ccccc1O,ZQBAKBUEJOMQEX-UHFFFAOYSA-N
O=S(=O)(O)CI,RDFJFVXMRYVOAC-UHFFFAOYSA-N
OC(CI)CI,DNKPFCQEGBJJTE-UHFFFAOYSA-N
CC(=O)N[C@H]([C@@H](O)CC(=O)C(=O)O)[C@@H](O)[C@H](O)[C@H](O)CO,KBGAYAKRZNYFFG-BOHATCBPSA-N
CC(=O)NC1CCSC1=O,NRFJZTXWLKPZAV-UHFFFAOYSA-N
CCCO,BDERNNFJNOPAEC-UHFFFAOYSA-N
C=C(Br)CC1(C(C)C)C(=O)NC(=O)N(C)C1=O,WGMASVSHOSNKMF-UHFFFAOYSA-N
O=c1[nH]sc2cc(Cl)ccc12,POPOYOKQQAEISW-UHFFFAOYSA-N
CCOCCN(Cc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1)C(=O)C(Cl)Cl,QTRALMGDQMIVFF-UHFFFAOYSA-N
CN(C)c1ccc(C(O)(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,QFVDKARCPMTZCS-UHFFFAOYSA-N
CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)NCCCCN)C(C)C,DIDCGVRALANKIU-OTEFFYEFSA-N
COCC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,IUNJANQVIJDFTQ-UHFFFAOYSA-N
Nc1c2ccccc2nc2ccccc12,XJGFWWJLMVZSIG-UHFFFAOYSA-N
CC(=O)O[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)C=C(C)[C@]4(C)[C@H]3CC[C@]12C,PGAUJQOPTMSERF-QWQRBHLCSA-N
CCCOC(=O)Cn1cc(I)c(=O)c(I)c1,ROSXARVHJNYYDO-UHFFFAOYSA-N
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H](CI)C4=C(CC[C@H](O)C4)[C@H]3CC[C@@]21C,QJHZPCLORSPENH-YVJYXHLXSA-N
O=C1OC2(c3ccccc31)c1cc(Br)c(O)c(Br)c1Oc1c2cc(Br)c(O)c1Br,DBZJJPROPLPMSN-UHFFFAOYSA-N
OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,RQXCLMGKHJWMOA-UHFFFAOYSA-N
CCC(C(=O)O)C1(O)CCCCC1,NIVFTEMPSCMWDE-UHFFFAOYSA-N
O=C(O)CCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,SKVLYVHULOWXTD-UHFFFAOYSA-N
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,WZHJKEUHNJHDLS-QTGUNEKASA-N
CCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,DALKLAYLIPSCQL-YPYQNWSCSA-N
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,UOWZUVNAGUAEQC-UHFFFAOYSA-N
N=C(N)NN=C1C=CC(=NNC(N)=S)C=C1,MLMFUKWWZIZRHX-UHFFFAOYSA-N
ClC=C(Cl)Cl,XSTXAVWGXDQKEL-UHFFFAOYSA-N
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,SIYLLGKDQZGJHK-UHFFFAOYSA-N
O=C(O)c1ccc(NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1,SPPTWHFVYKCNNK-FQEVSTJZSA-N
CNC(=S)NCO,JLMHZVYLAQPMOZ-UHFFFAOYSA-N
CCN(CC)CCOC(=O)c1cccc(-c2ccccc2)c1O,HLDCSYXMVXILQC-UHFFFAOYSA-N
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C(Cl)=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,GGXMRPUKBWXVHE-MIHLVHIWSA-N
C[C@]12CC[C@@H]3[C@H]4CCC(=O)C(=O)C4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,HTNIWVLUZVMSEC-ZDMUHYFLSA-N
O=C(Nc1ncc([N+](=O)[O-])s1)c1cccs1,ZLOXYEZYWCTXHU-UHFFFAOYSA-N
C[C@]12C[C@H](Cl)[C@@]3(Cl)[C@@H](C[C@H](F)C4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,VTWKPILBIUBMDS-OTJLYDAYSA-N
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,UIQMVEYFGZJHCZ-SSTWWWIQSA-N
CCCCOCC(CN1C(=O)NC(=O)C(CC)(c2ccccc2)C1=O)OC(N)=O,QHZQILHUJDRDAI-UHFFFAOYSA-N
O=C(COCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,FZDZULUFHNDEDJ-UHFFFAOYSA-N
O=c1c(I)cn(CC(O)CO)cc1I,TZADDXVKYWMEHX-UHFFFAOYSA-N
Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,MPIPASJGOJYODL-UHFFFAOYSA-N
CNC(=O)c1cccnc1,ZYVXHFWBYUDDBM-UHFFFAOYSA-N
O=[N+]([O-])c1c(Cl)cccc1-c1c[nH]cc1Cl,QJBZDBLBQWFTPZ-UHFFFAOYSA-N
CCCCOC(=O)C(=O)[C@H]1[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,XWTIDFOGTCVGQB-FHIVUSPVSA-N
CC(=O)OCC(=O)[C@H]1[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,ARPLCFGLEYFDCN-CDACMRRYSA-N
Cc1c(Br)cc(Br)c(O)c1Br,QKHROXOPRBWBDD-UHFFFAOYSA-N
O/N=C/c1cc[n+](COC[n+]2ccc(/C=N/O)cc2)cc1,HIGRLDNHDGYWQJ-UHFFFAOYSA-P
Cc1ccccc1OCC(O)CO,JWDYCNIAQWPBHD-UHFFFAOYSA-N
O=C(Nc1ccc(Cl)cc1)c1cc(Br)ccc1O,QBSGXIBYUQJHMJ-UHFFFAOYSA-N
CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,NEYNJQRKHLUJRU-DZUOILHNSA-N
O=C(COCCOCCOCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,JXMIBUGMYLQZGO-UHFFFAOYSA-N
NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,MUNMIGOEDGHVLE-LGYYRGKSSA-N
O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,PBMSWVPMRUJMPE-UHFFFAOYSA-N
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I,UUMLTINZBQPNGF-UHFFFAOYSA-N
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C(C)(C)C,JWRMHDSINXPDHB-OJAGFMMFSA-N
C=CC[N@@+]12CC[C@@]34c5ccccc5N5/C=C6/[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7N(/C=C(/[C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69,MUQUYTSLDVKIOF-CHJKCJHBSA-N
CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1,AHZBEVXBKNYXPU-UHFFFAOYSA-N
CC(C)(C)C(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,VVOIQBFMTVCINR-WWMZEODYSA-N
CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,HYRKAAMZBDSJFJ-LFDBJOOHSA-N
O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I,AMDBBAQNWSUWGN-UHFFFAOYSA-N
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1,BGSZAXLLHYERSY-XQIGCQGXSA-N
NC(CCCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O)C(=O)O,PAJBBDCZSMDSFL-UHFFFAOYSA-N
CCOCC,RTZKZFJDLAIYFH-UHFFFAOYSA-N
CC1=C(C/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O,MBWXNTAXLNYFJB-NKFFZRIASA-N
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,XIQVNETUBQGFHX-UHFFFAOYSA-N
